year,film,category
1943,The Song of Bernadette,Drama
1944,Going My Way,Drama
1945,The Lost Weekend,Drama
1946,The Best Years of Our Lives,Drama
1947,Gentleman's Agreement,Drama
1948,Johnny Belinda,Drama
1949,All the King's Men,Drama
1950,Sunset Boulevard,Drama
1951,A Place in the Sun,Drama
1952,The Greatest Show on Earth,Drama
1953,The Robe,Drama
1954,On the Waterfront,Drama
1955,East of Eden,Drama
1956,Around the World in 80 Days,Drama
1957,The Bridge on the River Kwai,Drama
1958,The Defiant Ones,Drama
1959,Ben-Hur,Drama
1960,Spartacus,Drama
1961,The Guns of Navarone,Drama
1962,Lawrence of Arabia,Drama
1963,The Cardinal,Drama
1964,Becket,Drama
1965,Doctor Zhivago,Drama
1966,A Man for All Seasons,Drama
1967,In the Heat of the Night,Drama
1968,The Lion in Winter,Drama
1969,Anne of the Thousand Days,Drama
1970,Love Story,Drama
1971,The French Connection,Drama
1972,The Godfather,Drama
1973,The Exorcist,Drama
1974,Chinatown,Drama
1975,One Flew Over the Cuckoo's Nest,Drama
1976,Rocky,Drama
1977,The Turning Point,Drama
1978,Midnight Express,Drama
1979,Kramer vs. Kramer,Drama
1980,Ordinary People,Drama
1981,On Golden Pond,Drama
1982,E.T. the Extra-Terrestrial,Drama
1983,Terms of Endearment,Drama
1984,Amadeus,Drama
1985,Out of Africa,Drama
1986,Platoon,Drama
1987,The Last Emperor,Drama
1988,Rain Man,Drama
1989,Born on the Fourth of July,Drama
1990,Dances with Wolves,Drama
1991,Beauty and the Beast,Musical or Comedy
1991,Bugsy,Drama
1992,Scent of a Woman,Drama
1993,Schindler's List,Drama
1994,Forrest Gump,Drama
1995,Sense and Sensibility,Drama
1996,The English Patient,Drama
1997,Titanic,Drama
1998,Saving Private Ryan,Drama
1999,American Beauty,Drama
2000,Gladiator,Drama
2001,A Beautiful Mind,Drama
2002,The Hours,Drama
2003,The Lord of the Rings: The Return of the King,Drama
2004,The Aviator,Drama
2005,Brokeback Mountain,Drama
2006,Babel,Drama
2007,Atonement,Drama
2008,Slumdog Millionaire,Drama
2009,Avatar,Drama
2010,The Social Network,Drama
2011,The Descendants,Drama
2012,Argo,Drama
2013,12 Years a Slave,Drama
2014,Boyhood,Drama
2015,The Revenant,Drama
2016,Moonlight,Drama
2017,Three Billboards Outside Ebbing Missouri,Drama
2018,Bohemian Rhapsody,Drama
2019,1917,Drama
2020,Nomadland,Drama
2021,The Power of the Dog,Drama
2022,The Fabelmans,Drama
2023,Oppenheimer,Drama
2024,The Brutalist,Drama